transaction_id,channel,product_id,customer_id,transaction_date,quantity,price,total_sales
1,Mobile,13,22,2023-04-28,1,332.51,332.51
2,Online,1,4,2023-07-21,5,135.47,677.35
3,Mobile,1,32,2023-09-11,4,442.01,1768.04
4,Retail,14,46,2023-11-27,3,28.73,86.19
5,Online,13,34,2023-12-19,4,33.76,135.04
6,Online,17,2,2023-08-09,5,76.4,382.0
7,Mobile,1,50,2023-06-30,4,385.31,1541.24
8,Retail,12,3,2023-02-15,5,266.18,1330.9
9,Online,15,48,2023-04-09,2,415.34,830.68
10,Retail,17,10,2023-12-09,1,191.48,191.48
11,Online,12,40,2023-07-14,1,116.6,116.6
12,Retail,10,42,2023-06-19,1,310.1,310.1
13,Retail,10,40,2023-07-27,5,120.66,603.3
14,Mobile,11,24,2023-01-27,2,34.52,69.04
15,Mobile,15,47,2023-06-07,5,489.2,2446.0
16,Retail,5,23,2023-06-08,5,355.32,1776.6
17,Online,6,20,2023-09-19,5,426.55,2132.75
18,Mobile,20,10,2023-06-15,4,479.98,1919.92
19,Online,5,32,2023-07-30,5,251.69,1258.45
20,Mobile,7,39,2023-07-25,3,389.57,1168.71
21,Mobile,1,36,2023-06-08,5,281.23,1406.15
22,Online,8,6,2023-02-10,5,138.47,692.35
23,Mobile,2,41,2023-10-28,2,69.81,139.62
24,Retail,6,47,2023-05-30,1,74.32,74.32
25,Mobile,7,19,2023-04-04,3,134.08,402.24
26,Mobile,18,39,2023-03-05,1,413.49,413.49
27,Retail,16,8,2023-05-17,4,490.16,1960.64
28,Retail,3,42,2023-09-25,2,498.03,996.06
29,Mobile,5,42,2023-12-22,3,484.54,1453.6200000000001
30,Online,2,15,2023-12-10,4,167.21,668.84
31,Mobile,7,23,2023-07-31,5,53.68,268.4
32,Mobile,11,44,2023-12-07,1,372.18,372.18
33,Mobile,6,16,2023-09-16,5,477.44,2387.2
34,Mobile,14,28,2023-08-05,5,355.66,1778.3000000000002
35,Online,15,22,2023-07-10,5,261.14,1305.6999999999998
36,Online,3,27,2023-01-25,2,358.49,716.98
37,Online,13,44,2023-10-25,5,41.52,207.60000000000002
38,Retail,12,44,2023-09-06,2,415.67,831.34
39,Online,15,23,2023-04-06,3,30.19,90.57000000000001
40,Retail,11,6,2023-10-17,1,252.43,252.43
41,Online,7,45,2023-10-17,1,327.72,327.72
42,Online,2,48,2023-08-20,3,257.42,772.26
43,Online,3,39,2023-03-11,3,79.73,239.19
44,Online,10,47,2023-01-17,3,213.75,641.25
45,Retail,10,10,2023-11-08,2,314.44,628.88
46,Online,8,30,2023-06-10,5,481.13,2405.65
47,Retail,11,31,2023-04-20,3,469.41,1408.23
48,Mobile,18,5,2023-11-18,1,16.51,16.51
49,Mobile,15,26,2023-04-16,2,291.25,582.5
50,Mobile,14,48,2023-11-25,2,370.62,741.24
51,Online,17,47,2023-09-06,2,353.91,707.82
52,Online,17,37,2023-10-25,5,422.04,2110.2000000000003
53,Mobile,1,6,2023-09-16,3,226.06,678.1800000000001
54,Retail,19,2,2023-08-14,5,329.39,1646.9499999999998
55,Online,11,47,2023-04-15,4,290.41,1161.64
56,Retail,18,5,2023-11-27,3,300.92,902.76
57,Retail,6,32,2023-08-25,4,494.01,1976.04
58,Online,3,38,2023-10-11,4,181.05,724.2
59,Mobile,11,47,2023-11-08,5,269.6,1348.0
60,Online,6,36,2023-09-15,4,71.0,284.0
61,Mobile,16,38,2023-10-30,1,241.38,241.38
62,Retail,6,9,2023-06-15,5,363.56,1817.8
63,Online,15,22,2023-09-11,3,422.92,1268.76
64,Retail,8,19,2023-07-01,1,252.25,252.25
65,Mobile,19,40,2023-02-22,5,290.39,1451.9499999999998
66,Online,5,13,2023-02-09,2,142.24,284.48
67,Retail,4,27,2023-07-16,3,481.92,1445.76
68,Retail,20,22,2023-09-11,2,476.22,952.44
69,Mobile,3,30,2023-09-10,3,162.86,488.58000000000004
70,Online,17,4,2023-11-16,5,398.99,1994.95
71,Mobile,8,33,2023-05-29,1,323.09,323.09
72,Retail,8,45,2023-09-08,1,460.81,460.81
73,Retail,2,29,2023-12-08,5,460.5,2302.5
74,Retail,12,39,2023-02-05,2,31.84,63.68
75,Mobile,10,32,2023-12-13,1,48.53,48.53
76,Online,7,27,2023-06-05,4,208.45,833.8
77,Mobile,13,36,2023-05-06,1,47.31,47.31
78,Online,1,30,2023-06-12,1,410.02,410.02
79,Retail,1,38,2023-01-29,2,349.87,699.74
80,Mobile,11,20,2023-03-24,3,170.1,510.29999999999995
81,Retail,18,26,2023-01-19,4,215.61,862.44
82,Retail,13,7,2023-02-01,3,158.87,476.61
83,Mobile,14,9,2023-12-27,2,376.64,753.28
84,Retail,16,16,2023-03-14,3,122.68,368.04
85,Online,10,27,2023-02-26,5,40.32,201.6
86,Online,8,12,2023-01-08,3,125.82,377.46
87,Mobile,6,39,2023-08-11,1,196.25,196.25
88,Retail,16,32,2023-08-17,5,159.67,798.3499999999999
89,Retail,10,30,2023-10-04,1,488.75,488.75
90,Mobile,3,48,2023-07-18,3,393.11,1179.33
91,Online,16,32,2023-04-23,4,343.13,1372.52
92,Online,7,35,2023-09-30,2,394.87,789.74
93,Retail,8,4,2023-12-04,3,471.63,1414.8899999999999
94,Retail,8,29,2023-05-12,3,270.4,811.1999999999999
95,Online,7,19,2023-08-17,2,271.51,543.02
96,Retail,2,7,2023-07-14,5,69.04,345.20000000000005
97,Online,1,3,2023-04-23,2,126.83,253.66
98,Retail,12,46,2023-07-03,1,479.77,479.77
99,Mobile,18,44,2023-10-22,4,61.06,244.24
100,Online,10,27,2023-08-28,5,392.49,1962.45
101,Retail,6,26,2023-02-13,2,223.03,446.06
102,Mobile,5,11,2023-01-19,2,364.5,729.0
103,Mobile,13,17,2023-09-22,4,181.05,724.2
104,Mobile,11,44,2023-02-03,2,403.25,806.5
105,Retail,17,37,2023-04-20,2,339.92,679.84
106,Retail,19,40,2023-10-02,3,134.09,402.27
107,Retail,18,20,2023-04-20,3,88.57,265.71
108,Mobile,16,22,2023-08-16,5,421.09,2105.45
109,Online,15,3,2023-02-15,3,439.03,1317.09
110,Mobile,5,44,2023-09-16,3,47.25,141.75
111,Mobile,10,44,2023-05-04,5,252.62,1263.1
112,Retail,5,21,2023-12-25,4,175.96,703.84
113,Mobile,7,42,2023-08-05,3,15.35,46.05
114,Mobile,16,41,2023-05-25,3,124.4,373.20000000000005
115,Online,11,44,2023-11-30,1,217.77,217.77
116,Mobile,7,29,2023-12-06,5,71.56,357.8
117,Mobile,8,19,2023-05-13,1,233.3,233.3
118,Retail,10,21,2023-08-15,3,305.82,917.46
119,Mobile,15,49,2023-07-16,5,485.93,2429.65
120,Retail,16,46,2023-12-21,1,376.64,376.64
121,Retail,13,11,2023-09-24,1,171.95,171.95
122,Retail,12,2,2023-11-29,1,53.05,53.05
123,Online,14,24,2023-10-06,4,256.73,1026.92
124,Online,17,49,2023-08-07,1,370.06,370.06
125,Online,13,10,2023-05-11,1,454.94,454.94
126,Retail,12,16,2023-10-10,5,130.81,654.05
127,Retail,17,10,2023-02-05,2,439.87,879.74
128,Retail,11,48,2023-04-13,4,95.83,383.32
129,Mobile,3,15,2023-05-16,4,99.84,399.36
130,Mobile,12,49,2023-06-05,2,382.6,765.2
131,Retail,10,12,2023-01-30,2,17.36,34.72
132,Retail,12,12,2023-05-16,3,47.12,141.35999999999999
133,Mobile,15,19,2023-08-27,1,366.53,366.53
134,Online,3,30,2023-01-03,5,96.11,480.55
135,Mobile,15,13,2023-01-08,5,198.75,993.75
136,Mobile,16,45,2023-04-22,3,38.03,114.09
137,Retail,9,36,2023-06-05,2,266.69,533.38
138,Online,18,29,2023-06-25,3,293.45,880.3499999999999
139,Mobile,18,45,2023-08-17,4,314.97,1259.88
140,Online,15,18,2023-10-11,5,98.69,493.45
141,Retail,11,13,2023-03-16,5,280.24,1401.2
142,Mobile,8,20,2023-04-20,1,344.18,344.18
143,Retail,11,22,2023-09-23,4,160.69,642.76
144,Online,8,6,2023-04-15,2,353.54,707.08
145,Mobile,4,3,2023-11-18,3,486.5,1459.5
146,Online,5,8,2023-09-23,4,178.34,713.36
147,Retail,11,23,2023-01-02,4,412.02,1648.08
148,Retail,18,16,2023-12-09,2,112.8,225.6
149,Online,15,15,2023-06-16,4,174.26,697.04
150,Online,11,43,2023-01-24,4,330.69,1322.76
151,Online,18,48,2023-02-23,4,412.99,1651.96
152,Retail,16,32,2023-09-23,4,462.45,1849.8
153,Online,12,50,2023-01-26,5,154.08,770.4000000000001
154,Retail,2,13,2023-03-11,1,433.7,433.7
155,Mobile,6,34,2023-06-07,2,384.42,768.84
156,Mobile,11,49,2023-10-01,1,99.77,99.77
157,Online,18,49,2023-04-19,4,288.01,1152.04
158,Online,6,4,2023-12-12,1,447.1,447.1
159,Online,14,22,2023-07-20,5,450.44,2252.2
160,Online,16,21,2023-09-12,5,286.28,1431.3999999999999
161,Mobile,2,17,2023-08-12,3,386.91,1160.73
162,Retail,11,43,2023-03-18,2,481.68,963.36
163,Retail,8,1,2023-08-06,3,352.29,1056.8700000000001
164,Online,13,23,2023-11-29,1,377.01,377.01
165,Mobile,6,1,2023-12-06,5,256.25,1281.25
166,Online,7,7,2023-03-20,5,460.41,2302.05
167,Retail,8,32,2023-02-13,1,461.99,461.99
168,Online,19,37,2023-12-28,5,387.34,1936.6999999999998
169,Online,3,6,2023-12-19,2,450.41,900.82
170,Online,7,32,2023-05-19,2,12.76,25.52
171,Retail,12,2,2023-07-17,1,305.75,305.75
172,Retail,20,19,2023-01-19,5,132.52,662.6
173,Mobile,3,29,2023-10-13,5,499.65,2498.25
174,Mobile,10,47,2023-07-22,5,263.7,1318.5
175,Mobile,14,28,2023-03-31,3,382.82,1148.46
176,Mobile,5,38,2023-08-15,4,359.26,1437.04
177,Online,14,47,2023-04-21,3,51.78,155.34
178,Retail,15,27,2023-03-05,4,40.44,161.76
179,Retail,13,10,2023-01-21,5,371.15,1855.75
180,Mobile,2,38,2023-05-15,4,206.65,826.6
181,Retail,13,43,2023-04-09,5,215.25,1076.25
182,Retail,9,49,2023-07-01,1,182.53,182.53
183,Online,20,14,2023-06-13,4,208.52,834.08
184,Retail,5,34,2023-06-05,5,466.63,2333.15
185,Online,3,15,2023-10-10,5,460.88,2304.4
186,Mobile,16,41,2023-06-08,3,452.21,1356.6299999999999
187,Mobile,4,1,2023-01-29,4,219.93,879.72
188,Retail,15,24,2023-06-21,4,375.28,1501.12
189,Mobile,6,48,2023-03-01,3,388.13,1164.3899999999999
190,Mobile,16,20,2023-08-24,1,405.48,405.48
191,Retail,6,40,2023-10-23,2,31.14,62.28
192,Retail,6,23,2023-11-11,2,164.93,329.86
193,Mobile,14,39,2023-06-13,5,312.87,1564.35
194,Online,3,25,2023-09-10,5,388.9,1944.5
195,Online,11,15,2023-04-14,3,313.55,940.6500000000001
196,Mobile,2,7,2023-10-04,3,19.12,57.36
197,Online,18,11,2023-01-20,4,370.86,1483.44
198,Online,16,3,2023-08-13,3,57.04,171.12
199,Online,14,26,2023-04-11,5,331.9,1659.5
200,Mobile,19,31,2023-08-26,3,74.27,222.81
201,Online,6,15,2023-11-24,1,257.53,257.53
202,Online,4,43,2023-09-18,1,322.8,322.8
203,Online,14,36,2023-06-22,5,44.38,221.9
204,Retail,18,29,2023-09-27,5,420.42,2102.1
205,Retail,11,11,2023-09-24,1,377.18,377.18
206,Retail,6,24,2023-03-13,3,93.29,279.87
207,Retail,19,6,2023-06-02,5,215.86,1079.3000000000002
208,Online,9,8,2023-02-09,3,123.56,370.68
209,Online,11,20,2023-05-09,5,381.45,1907.25
210,Mobile,13,14,2023-02-21,3,158.06,474.18
211,Online,10,23,2023-03-24,2,327.36,654.72
212,Retail,5,37,2023-11-04,1,339.73,339.73
213,Online,1,11,2023-08-18,1,243.19,243.19
214,Retail,8,3,2023-12-11,5,73.12,365.6
215,Mobile,2,1,2023-11-12,3,125.77,377.31
216,Mobile,18,6,2023-02-23,5,207.21,1036.05
217,Mobile,19,7,2023-09-15,1,188.08,188.08
218,Mobile,20,33,2023-02-03,5,71.34,356.70000000000005
219,Online,13,2,2023-08-27,5,149.27,746.35
220,Mobile,13,29,2023-09-28,4,214.81,859.24
221,Online,9,19,2023-01-23,1,66.14,66.14
222,Online,2,1,2023-09-26,3,462.81,1388.43
223,Retail,1,45,2023-03-13,4,336.47,1345.88
224,Mobile,8,47,2023-01-19,5,257.51,1287.55
225,Online,15,48,2023-07-20,2,476.5,953.0
226,Mobile,4,35,2023-10-11,4,329.49,1317.96
227,Mobile,3,37,2023-08-08,2,248.68,497.36
228,Retail,13,49,2023-04-30,5,209.44,1047.2
229,Online,12,12,2023-02-22,5,370.1,1850.5
230,Mobile,4,47,2023-03-04,5,472.94,2364.7
231,Online,6,37,2023-05-24,1,282.46,282.46
232,Retail,13,47,2023-03-02,1,499.23,499.23
233,Mobile,19,48,2023-04-14,5,407.7,2038.5
234,Mobile,3,20,2023-03-23,3,156.39,469.16999999999996
235,Mobile,11,2,2023-09-21,1,116.88,116.88
236,Online,5,42,2023-05-24,1,87.51,87.51
237,Retail,15,43,2023-07-14,1,315.86,315.86
238,Mobile,2,45,2023-04-09,3,478.41,1435.23
239,Retail,6,11,2023-01-15,4,420.97,1683.88
240,Online,5,43,2023-05-15,5,464.63,2323.15
241,Retail,14,44,2023-01-30,3,483.28,1449.84
242,Online,18,35,2023-03-26,1,164.48,164.48
243,Mobile,7,5,2023-02-14,4,32.88,131.52
244,Mobile,2,8,2023-12-15,2,38.14,76.28
245,Mobile,13,28,2023-05-31,4,469.89,1879.56
246,Mobile,18,47,2023-06-06,5,136.07,680.3499999999999
247,Online,15,45,2023-06-07,2,231.05,462.1
248,Online,16,18,2023-11-22,3,221.7,665.0999999999999
249,Mobile,8,29,2023-03-28,2,66.24,132.48
250,Retail,2,21,2023-12-15,4,219.38,877.52
251,Online,3,12,2023-07-16,2,245.23,490.46
252,Online,16,2,2023-10-16,4,248.29,993.16
253,Mobile,11,38,2023-08-09,5,159.84,799.2
254,Online,10,13,2023-03-22,1,190.83,190.83
255,Mobile,10,16,2023-09-02,2,11.57,23.14
256,Mobile,5,33,2023-10-07,1,136.98,136.98
257,Mobile,1,24,2023-04-29,5,456.79,2283.9500000000003
258,Mobile,15,10,2023-09-13,5,306.14,1530.6999999999998
259,Retail,3,12,2023-09-15,1,120.01,120.01
260,Retail,18,3,2023-03-11,2,215.93,431.86
261,Retail,20,33,2023-04-04,1,379.39,379.39
262,Mobile,15,17,2023-07-27,4,114.16,456.64
263,Retail,19,30,2023-01-24,3,110.54,331.62
264,Mobile,5,30,2023-03-03,5,159.03,795.15
265,Retail,13,47,2023-10-10,3,208.32,624.96
266,Online,14,36,2023-06-21,4,330.56,1322.24
267,Mobile,7,44,2023-11-03,4,127.93,511.72
268,Retail,14,10,2023-11-12,1,308.83,308.83
269,Mobile,16,20,2023-03-19,2,101.08,202.16
270,Online,11,21,2023-02-25,5,472.06,2360.3
271,Online,9,7,2023-04-06,4,66.74,266.96
272,Mobile,7,38,2023-10-31,4,445.78,1783.12
273,Retail,4,38,2023-07-12,1,326.81,326.81
274,Online,20,13,2023-02-05,5,361.18,1805.9
275,Mobile,16,44,2023-01-10,3,282.22,846.6600000000001
276,Retail,11,38,2023-01-04,4,136.7,546.8
277,Online,9,46,2023-11-15,3,179.95,539.8499999999999
278,Retail,11,22,2023-02-20,2,377.31,754.62
279,Online,3,20,2023-03-21,3,289.1,867.3000000000001
280,Retail,7,23,2023-05-23,1,29.36,29.36
281,Retail,1,15,2023-06-17,2,391.91,783.82
282,Online,16,48,2023-06-07,3,292.95,878.8499999999999
283,Mobile,5,46,2023-08-11,1,303.61,303.61
284,Online,1,5,2023-07-19,2,36.08,72.16
285,Online,9,21,2023-09-21,5,170.58,852.9000000000001
286,Retail,11,37,2023-12-19,1,460.62,460.62
287,Online,16,31,2023-08-07,4,304.5,1218.0
288,Retail,2,20,2023-10-26,5,498.27,2491.35
289,Retail,4,42,2023-10-08,5,386.08,1930.3999999999999
290,Retail,13,34,2023-11-11,1,393.42,393.42
291,Online,3,10,2023-12-23,5,106.52,532.6
292,Online,5,3,2023-10-15,2,131.77,263.54
293,Retail,14,3,2023-01-02,3,259.12,777.36
294,Online,3,17,2023-05-21,5,363.71,1818.55
295,Online,1,7,2023-06-04,4,314.04,1256.16
296,Retail,8,28,2023-10-26,5,153.18,765.9000000000001
297,Mobile,2,13,2023-09-06,3,63.33,189.99
298,Retail,17,35,2023-09-24,3,95.85,287.54999999999995
299,Retail,3,18,2023-08-11,1,363.3,363.3
300,Retail,17,40,2023-12-29,2,496.68,993.36
301,Mobile,13,32,2023-04-22,4,406.25,1625.0
302,Online,10,11,2023-03-28,1,400.27,400.27
303,Online,2,37,2023-06-23,3,457.03,1371.09
304,Online,20,41,2023-08-13,2,495.59,991.18
305,Mobile,2,48,2023-04-04,2,204.56,409.12
306,Online,16,34,2023-10-17,1,28.13,28.13
307,Retail,16,27,2023-06-08,1,306.03,306.03
308,Retail,1,27,2023-06-18,1,356.56,356.56
309,Online,2,3,2023-02-14,3,32.83,98.49
310,Mobile,5,45,2023-10-30,4,327.06,1308.24
311,Mobile,13,17,2023-04-25,2,153.83,307.66
312,Mobile,20,18,2023-08-15,4,405.35,1621.4
313,Online,10,23,2023-05-21,3,405.94,1217.82
314,Retail,18,37,2023-08-28,2,198.62,397.24
315,Retail,6,9,2023-12-14,5,323.98,1619.9
316,Retail,7,2,2023-04-02,5,446.53,2232.6499999999996
317,Online,4,3,2023-08-22,4,304.02,1216.08
318,Retail,19,15,2023-07-02,3,327.91,983.73
319,Retail,9,15,2023-09-13,5,45.62,228.1
320,Online,9,22,2023-07-26,5,183.59,917.95
321,Retail,18,14,2023-10-19,5,245.87,1229.35
322,Online,9,12,2023-04-27,5,77.28,386.4
323,Online,20,31,2023-11-13,3,464.87,1394.6100000000001
324,Retail,8,6,2023-01-20,2,227.7,455.4
325,Mobile,2,28,2023-09-16,5,445.11,2225.55
326,Retail,12,29,2023-02-21,5,204.34,1021.7
327,Mobile,14,49,2023-04-18,3,67.22,201.66
328,Mobile,6,20,2023-12-24,5,50.78,253.9
329,Retail,4,28,2023-10-07,2,230.4,460.8
330,Mobile,7,25,2023-03-03,4,117.65,470.6
331,Mobile,18,36,2023-01-25,5,439.25,2196.25
332,Retail,2,30,2023-02-23,3,17.44,52.32000000000001
333,Retail,17,5,2023-12-08,1,126.06,126.06
334,Online,12,43,2023-03-19,4,322.48,1289.92
335,Mobile,16,16,2023-09-03,2,248.23,496.46
336,Mobile,1,45,2023-07-10,3,424.73,1274.19
337,Retail,8,30,2023-08-27,3,366.86,1100.58
338,Online,17,31,2023-11-21,3,157.86,473.58000000000004
339,Retail,11,4,2023-10-23,1,418.47,418.47
340,Retail,5,37,2023-10-03,5,102.45,512.25
341,Mobile,7,44,2023-12-09,1,241.66,241.66
342,Online,8,4,2023-08-26,5,453.7,2268.5
343,Online,7,39,2023-11-14,1,419.63,419.63
344,Mobile,17,32,2023-02-04,3,493.82,1481.46
345,Online,14,1,2023-08-28,5,340.43,1702.15
346,Mobile,4,48,2023-10-11,3,283.76,851.28
347,Retail,20,16,2023-06-17,2,120.44,240.88
348,Retail,8,13,2023-10-15,5,154.88,774.4
349,Online,20,34,2023-03-20,3,441.94,1325.82
350,Retail,1,36,2023-04-27,5,452.77,2263.85
351,Online,5,25,2023-08-04,3,178.33,534.99
352,Online,7,31,2023-12-13,2,325.52,651.04
353,Retail,9,3,2023-09-24,5,228.86,1144.3000000000002
354,Online,16,13,2023-03-02,2,417.93,835.86
355,Mobile,13,30,2023-04-03,2,448.7,897.4
356,Mobile,9,50,2023-10-01,2,140.49,280.98
357,Online,20,38,2023-12-18,5,199.8,999.0
358,Online,15,39,2023-08-13,3,459.73,1379.19
359,Mobile,17,41,2023-09-02,1,475.85,475.85
360,Mobile,10,16,2023-03-15,4,414.81,1659.24
361,Online,8,19,2023-07-03,3,368.26,1104.78
362,Mobile,5,42,2023-08-12,2,279.11,558.22
363,Online,12,25,2023-02-15,3,315.02,945.06
364,Mobile,6,28,2023-08-26,1,442.72,442.72
365,Online,4,8,2023-04-09,2,369.11,738.22
366,Retail,5,40,2023-04-22,5,103.82,519.0999999999999
367,Mobile,13,11,2023-12-09,1,480.98,480.98
368,Online,15,43,2023-11-25,1,281.17,281.17
369,Mobile,19,28,2023-03-12,4,112.21,448.84
370,Retail,13,42,2023-12-23,3,355.86,1067.58
371,Online,10,26,2023-09-10,2,321.84,643.68
372,Mobile,9,31,2023-05-07,1,195.55,195.55
373,Retail,10,21,2023-02-08,2,13.82,27.64
374,Mobile,13,20,2023-02-24,5,257.73,1288.65
375,Retail,20,37,2023-06-09,5,85.7,428.5
376,Mobile,19,28,2023-03-23,3,335.36,1006.08
377,Mobile,17,16,2023-08-27,5,124.01,620.0500000000001
378,Mobile,20,44,2024-01-01,5,52.8,264.0
379,Mobile,5,41,2023-02-17,2,177.61,355.22
380,Online,11,11,2023-04-01,4,92.06,368.24
381,Online,9,43,2023-06-23,2,212.57,425.14
382,Mobile,13,22,2023-07-17,2,136.74,273.48
383,Mobile,16,47,2023-02-02,1,369.64,369.64
384,Online,17,32,2023-05-15,3,383.4,1150.1999999999998
385,Retail,4,23,2023-01-23,2,475.37,950.74
386,Online,11,30,2023-05-23,1,277.65,277.65
387,Mobile,4,48,2023-12-09,2,141.23,282.46
388,Retail,20,19,2023-12-17,1,237.43,237.43
389,Retail,10,6,2023-01-20,1,98.53,98.53
390,Retail,13,35,2023-03-17,2,395.5,791.0
391,Retail,17,2,2023-04-15,5,151.11,755.5500000000001
392,Mobile,7,19,2023-02-19,3,110.46,331.38
393,Mobile,20,22,2023-04-07,2,408.16,816.32
394,Mobile,8,42,2023-03-02,1,52.08,52.08
395,Online,18,50,2023-02-26,4,202.99,811.96
396,Mobile,18,8,2023-09-22,1,362.06,362.06
397,Online,3,31,2023-09-21,2,499.15,998.3
398,Online,10,26,2023-08-25,1,411.35,411.35
399,Mobile,18,43,2023-03-24,2,409.56,819.12
400,Online,7,14,2023-03-19,2,468.53,937.06
401,Mobile,13,37,2023-03-31,1,235.05,235.05
402,Online,13,43,2023-10-21,2,176.73,353.46
